label,this_end,far_end,colour,gauge
ALT_A,ALT-1,RR-1,YE,14 AWG
ALT_A,RR-1,ALT-1,YE,14 AWG
ALT_B,ALT-2,RR-2,YE,14 AWG
ALT_B,RR-2,ALT-2,YE,14 AWG
MAIN_IN,MF-1,SOL-1,RD,12 AWG
MAIN_IN,SOL-1,MF-1,RD,12 AWG
MAIN_OUT,MF-2,SP_HOT-1,WH,14 AWG
MAIN_OUT,SP_HOT-1,MF-2,WH,14 AWG
MAIN_SW_FEED,K_MAIN-1,SP_HOT-1,WH,14 AWG
MAIN_SW_FEED,SP_HOT-1,K_MAIN-1,WH,14 AWG
RR_BATT,BATT-1,MF_RR-2,RD,12 AWG
RR_BATT,MF_RR-2,BATT-1,RD,12 AWG
RR_GND,GND-2,RR-5,BK,12 AWG
RR_GND,RR-5,GND-2,BK,12 AWG
RR_OUT,MF_RR-1,RR-4,RD,12 AWG
RR_OUT,RR-4,MF_RR-1,RD,12 AWG
TDR_HOT,BATT-1,MF_TDR-1,RD,12 AWG
TDR_HOT,MF_TDR-1,BATT-1,RD,12 AWG
